Status,FirstLine,Lon,Lines,Time,Lat,LowFloor,Brigade
RUNNING,24 ,20.9897594,24             ,2017-05-21T02:00:12,52.2250214,False,031 
RUNNING,24 ,21.1192799,24             ,2017-05-21T02:00:15,52.2382698,True,3   
RUNNING,24 ,21.0373802,24             ,2017-05-21T02:00:12,52.2351456,True,033 
RUNNING,24 ,20.9797726,24             ,2017-05-21T02:00:12,52.2367783,True,7   
RUNNING,26 ,20.9134178,26             ,2017-05-21T02:00:14,52.2382889,True,031 
RUNNING,26 ,20.9142189,26             ,2017-05-21T02:00:11,52.2358742,True,032 
RUNNING,24 ,21.085619,24             ,2017-05-21T02:00:15,52.2451515,True,4   
RUNNING,26 ,21.0493469,26             ,2017-05-21T02:00:14,52.2525558,True,6   
RUNNING,33 ,20.9234066,33             ,2017-05-21T02:00:14,52.2851448,True,5   
RUNNING,24 ,21.0219498,24             ,2017-05-21T02:00:05,52.2320442,True,1   
RUNNING,24 ,20.9704075,24             ,2017-05-21T02:00:11,52.2413673,True,10  
RUNNING,24 ,21.1024914,24             ,2017-05-21T02:00:07,52.2424507,True,2   
RUNNING,4  ,21.0212898,4              ,2017-05-21T02:00:05,52.213295,True,064 
RUNNING,24 ,20.9293385,24             ,2017-05-21T02:00:12,52.2470932,True,9   
RUNNING,26 ,20.9654846,26             ,2017-05-21T02:00:11,52.2334633,True,1   
RUNNING,4  ,21.0208073,4              ,2017-05-21T02:00:13,52.1762695,True,9   
RUNNING,33 ,21.0075054,33             ,2017-05-21T02:00:16,52.2093048,True,13  
RUNNING,26 ,21.0146751,26             ,2017-05-21T02:00:13,52.2467766,True,5   
RUNNING,26 ,21.0679054,26             ,2017-05-21T02:00:12,52.2462997,True,7   
RUNNING,26 ,20.954937,26             ,2017-05-21T02:00:14,52.2307663,True,4   
RUNNING,4  ,21.0234013,4              ,2017-05-21T02:00:11,52.2499123,True,10  
RUNNING,33 ,20.9834614,33             ,2017-05-21T02:00:15,52.2535667,True,1   
RUNNING,24 ,20.9341354,24             ,2017-05-21T02:00:12,52.2992287,True,8   
RUNNING,33 ,20.9939194,33             ,2017-05-21T02:00:13,52.241539,True,12  
RUNNING,4  ,21.0319862,4              ,2017-05-21T02:00:05,52.2735443,True,1   
RUNNING,33 ,21.0050259,33             ,2017-05-21T02:00:15,52.2175636,True,14  
RUNNING,33 ,20.960104,33             ,2017-05-21T02:00:13,52.2675552,True,11  
RUNNING,2  ,20.9418011,2              ,2017-05-21T02:00:12,52.3332176,True,3   
RUNNING,2  ,20.9417629,2              ,2017-05-21T02:00:15,52.302639,True,2   
RUNNING,2  ,20.9491711,2              ,2017-05-21T02:00:12,52.32024,True,5   
RUNNING,26 ,21.0727673,26             ,2017-05-21T02:00:12,52.246048,True,8   
RUNNING,26 ,20.900528,26             ,2017-05-21T02:00:11,52.2386971,True,3   
RUNNING,26 ,20.9006195,26             ,2017-05-21T02:00:12,52.2387314,True,2   
RUNNING,26 ,21.0234299,26             ,2017-05-21T02:00:12,52.2498817,True,9   
RUNNING,24 ,21.1094398,24             ,2017-05-21T02:12:29,52.2409821,False,032 
RUNNING,24 ,20.9640999,24             ,2017-05-21T02:11:44,52.2453423,False,031 
RUNNING,24 ,21.1188374,24             ,2017-05-21T02:12:28,52.2382774,True,3   
RUNNING,24 ,21.0935612,24             ,2017-05-21T02:12:28,52.244339,True,033 
RUNNING,24 ,21.0111961,24             ,2017-05-21T02:12:25,52.2297707,True,7   
RUNNING,26 ,20.9408875,26             ,2017-05-21T02:09:03,52.2264137,True,031 
RUNNING,26 ,20.9009705,26             ,2017-05-21T02:12:21,52.2388306,True,032 
RUNNING,33 ,20.9280396,33             ,2017-05-21T02:12:29,52.2890511,True,5   
RUNNING,24 ,20.9848633,24             ,2017-05-21T02:12:25,52.2299156,True,1   
RUNNING,24 ,20.9139843,24             ,2017-05-21T02:12:29,52.252018,True,10  
RUNNING,24 ,21.0500622,24             ,2017-05-21T02:12:27,52.2378807,True,2   
RUNNING,4  ,21.0379372,4              ,2017-05-21T02:12:25,52.2628021,True,064 
RUNNING,24 ,20.9165707,24             ,2017-05-21T02:12:25,52.2544518,True,9   
RUNNING,26 ,20.993763,26             ,2017-05-21T02:07:47,52.2419052,True,1   
RUNNING,4  ,21.0206547,4              ,2017-05-21T02:12:29,52.1756248,True,9   
RUNNING,33 ,20.9925537,33             ,2017-05-21T02:12:25,52.243103,True,13  
RUNNING,26 ,20.9663849,26             ,2017-05-21T02:12:25,52.233654,True,5   
RUNNING,26 ,21.0557899,26             ,2017-05-21T02:12:26,52.2570419,True,7   
RUNNING,26 ,20.9143257,26             ,2017-05-21T02:12:25,52.235611,True,4   
RUNNING,4  ,21.0154667,4              ,2017-05-21T02:12:27,52.223835,True,10  
