Status,FirstLine,Lon,Lines,Time,Lat,LowFloor,Brigade
RUNNING,28 ,20.9386559,28             ,2017-05-28T11:55:51,52.2750893,False,5   
RUNNING,9  ,21.1191769,9              ,2017-05-28T11:55:37,52.2381821,False,6   
RUNNING,24 ,21.0860958,24             ,2017-05-28T11:55:51,52.2452164,True,4   
RUNNING,23 ,21.0430107,23             ,2017-05-28T11:55:54,52.2601891,True,5   
RUNNING,24 ,21.0479355,24             ,2017-05-28T11:55:54,52.2373428,True,7   
RUNNING,23 ,21.0021019,23             ,2017-05-28T11:55:38,52.2446861,True,4   
RUNNING,10 ,20.9148617,10             ,2017-05-28T11:55:41,52.2320251,True,4   
RUNNING,33 ,20.9389267,33             ,2017-05-28T11:55:44,52.2749252,True,11  
RUNNING,23 ,20.9257889,23             ,2017-05-28T11:55:45,52.2607956,True,2   
RUNNING,18 ,21.00177,"18,17          ",2017-05-28T11:55:45,52.2906761,True,10  
RUNNING,33 ,20.9821568,33             ,2017-05-28T11:55:42,52.2554359,True,5   
RUNNING,17 ,20.9426308,"17,18          ",2017-05-28T11:55:51,52.3242455,True,1   
RUNNING,3  ,21.0264435,3              ,2017-05-28T11:55:51,52.2799301,True,8   
RUNNING,7  ,21.0476875,7              ,2017-05-28T11:55:52,52.2460938,True,5   
RUNNING,18 ,20.9428883,"18,17          ",2017-05-28T11:55:54,52.3244629,True,2   
RUNNING,4  ,21.0174751,4              ,2017-05-28T11:55:54,52.2207336,True,1   
RUNNING,24 ,20.9733543,24             ,2017-05-28T11:55:38,52.2351379,True,2   
RUNNING,20 ,20.9932919,20             ,2017-05-28T11:55:54,52.2939148,True,4   
RUNNING,15 ,20.9808197,15             ,2017-05-28T11:55:54,52.2159462,True,2   
RUNNING,3  ,21.0346737,3              ,2017-05-28T11:55:42,52.2579727,True,1   
RUNNING,26 ,20.9287624,26             ,2017-05-28T11:55:37,52.2233658,True,4   
RUNNING,1  ,20.9820633,1              ,2017-05-28T11:55:46,52.2097816,True,14  
RUNNING,18 ,20.9794655,"18,17          ",2017-05-28T11:55:45,52.262825,True,16  
RUNNING,22 ,20.9778099,22             ,2017-05-28T11:55:54,52.2394485,True,2   
RUNNING,9  ,20.9437656,9              ,2017-05-28T11:55:46,52.1759109,True,1   
RUNNING,9  ,20.9690666,9              ,2017-05-28T11:55:52,52.2025337,True,9   
RUNNING,15 ,20.9445992,15             ,2017-05-28T11:55:56,52.1762581,True,3   
RUNNING,9  ,20.958456,9              ,2017-05-28T11:55:42,52.1905632,True,2   
RUNNING,9  ,21.0007935,9              ,2017-05-28T11:55:54,52.2275085,True,8   
RUNNING,9  ,21.0631466,9              ,2017-05-28T11:55:42,52.2403908,True,7   
RUNNING,1  ,20.9992828,1              ,2017-05-28T11:55:34,52.2586555,True,3   
RUNNING,1  ,20.9813595,1              ,2017-05-28T11:55:54,52.2165298,True,13  
RUNNING,33 ,21.0048275,33             ,2017-05-28T11:55:45,52.2227745,True,15  
RUNNING,33 ,20.9585152,33             ,2017-05-28T11:55:37,52.2679482,True,6   
